Nume autor,Număr cuvinte
DINULESCU Ioana,4412
DOBRESCU Ioan,2082
DOBRIȘAN Nicolae,2678
BLAGA Lucian,28535
BLANDIANA Ana,14625
COSTEA Dimitrie,1768
COSTIN Calistrat,2660
COSTIN Jacques G,2578
COSTIN Lucian,3075
COSTINESCU Florin,1940
COŞBUC George,13816
DUMBRAVă Lucian,1520
DUMBRĂVEANU Anghel,4517
DUMBRĂVEANU Victor,1465
DUMITRESCU Aurelian Titu,4845
DUMITRESCU Geo,9066
CORESI diaconul,1765
CORLĂȚEANU Nicolae,2210
CORNEL Theodor,1965
CORNU Aurora,4820
COTRUŞ Aron,13210
COVALCIUC Dumitru,1554
CRĂCIUN Victor,2415
CRIŞAN Sorin,2660
CRUCEANU Mihail,3411
CUBLEŞAN Constantin,4419
CUCLIN Dimitrie,1615
CREŢU Vasile Tudor,1032
CRIMCA Anastasie,3013
CRISTEA Corina,4588
CRISTESCU-GOLOPENŢIA Ştefania,3934
DUMITRU M. Ion,4593
DURNEA Victor,5751
BILEŢCHI Nicolae,1862
BIRĂESCU Traian Liviu,1619
BUCUŢA Emanoil,9630
BUHOCIU Octavian,2594
BUJOREANU Gheorghe,1265
BULZA Teodor,2094
BUMBAC Vasile,2107
BURADA Maria,112
BURADA Teodor,283
BURADA Teodor T .,4875
BURERIU Lucian,2909
BUŞECAN Teofil,926
BUTNARU Leo,2948
DAN Sergiu,5589
DANILOV Nichita,13926
ACTERIAN Haig,3609
DAVILA Alexandru,11680
DELAVRANCEA Barbu,11812
BALTAG Cezar,7672
BALTAG Radu,4244
BALTAZAR Camil,4117
BANCIU Axente,1893
CANTUNIARI Mihai,4082
CAPŞA Liviu,2790
CARAGIU MARIOŢEANU Matilda,3046
CARDAŞ Gheorghe,1849
BARAC Ioan,5303
BARANGA Aurel,8910
DAŞCHIEVICI Englantina,1145
CAROLY Felix,1907
CARP P. P. Petre P . ,2832
CASSVAN Sarina,3646
CATINA Ioan,2659
DAMIAN Mircea,7324
DAN George,2445
CAMILAR Eusebiu,6052
CANTACUZINO Alecu ( Alexandru ),2218
BABANSKY Valeriu,1361
BACONSKY Leon,1383
BADEA Mircea,1017
BĂIEȘU Ion,13693
BĂIEȘU Nicolae,1294
BĂILEANU Gheorghe,857
BĂILEȘTEANU Fănuș ( Ștefan ),2726
BĂJENARU Grigore,4390
BĂLAJ Teofil,3443
BĂLAN Ion,1606
BĂLĂEŢ Dumitru,2450
BĂLĂNOIU Emilian,2878
BĂLCESCU Nicolae,10921
BĂNESCU Florin,2735
AMĂRIUŢEI Constantin,5644
AMIRAS Alexandru,1371
AMZĂR Dumitru Cristian,8288
CIOBANU Mircea,16228
CIOBANU Vitalie,2791
CIOCAN-IVĂNESCU Rodica,1854
CIOCANU Ion,2365
CIOCANU Vasile,2504
ANDRÁS János,1744
ANGHEL Paul,9416
ANGHEL Petre,2941
ANGHELESCU Nadia,2543
ANINEANU Marta,224
ANTIM Corneliu,1299
ANTIM IVIREANUL,6849
CHIRIAC Teo,2193
CHIRIŢESCU Florin,1522
CHIRU-NANOV Ion,1292
CHIŞU Lucian,4160
CIOCÂRLAN I . Ion ,1985
CIOCULESCU Barbu,6121
CIOFLEC Virgil,1365
CIPARIU Timotei,6506
BĂDĂUŢĂ A . Alexandru ,2122
CHIŢIMIA Silvia,1904
CHIVA Ionuț,3540
CHIVU Adrian,2400
ASACHI Gheorghe,18431
AVĂDANEI Ştefan,2713
AVRAM Nicolae,3430
DRăGAN Radu,2990
DRĂGESCU Ioan ( Ioachim ) C .,2029
DRĂGHICI Marian,5690
DRăGOI Gabriela,3042
DRĂGUŞANU Sidonia,3846
DROUHET Charles,3974
CORBEANU Nicolae,3618
CORBUL Vintilă,5845
BELIGAN Anamaria,3977
ARDELEANU Aurel Gheorghe,2327
ARETZU Paul,2421
DRAGOLEA Mihai,3481
DRAGOMIRESCU Laura,1091
BELDICEANU Nicolae N. ( 15.V.1881 Rădășeni j. Suceava – 9.VI.1923 Sibiu ) prozator .,4788
BELDIMAN Alecu ( Alexandru ),1865
APETRI Dumitru,2813
BERARIU Constantin,1666
BERBECARU Valentin,2479
BEŞLEAGĂ Vladimir,5455
CONSTANTINESCU Viorica S .,3559
CONSTANTIN-STELIAN Stelian,2078
ARSENE Arthur Maria,1858
AXINTE Şerban,2875
BRATEŞ Radu,4993
BRATEŞ Verona,1184
BRATU Traian,1850
BRĂESCU Gheorghe,7482
BRĂNIŞTEANU B .,2186
BRÂNCUŞ Elisabeta,1344
BREDICEANU Coriolan,1048
BRABORESCU Ştefan,4331
BRAD Ion,10200
BOGACI Gheorghe,1008
BOGDAN-DUICĂ G. Gheorghe ,9739
BOŞCA Teodor,1625
BOTEZ Alice,9428
CUGLER-PONI Matilda,1250
BOBEI Gheorghe,1242
BOCIORT Ignat Florian,1727
BOCŞA Nicolae,1741
BOLOŞ Ion,1550
BORTOŞ Petru,2294
BOSSUECEANU Grigore R .,1561
BOLINTINEANU Dimitrie,4809
BOICULESI Valeria,1273
BOLDEA George,1774
BUCUR Septimiu,1861
AESCHT Georg,1600
AGÂRBICEANU Ion,18558
CĂLINESCU Matei,21425
CĂLUGĂRU Alice,4931
CĂLUGĂRU Ion,5492
CĂPRARIU Al . Alexandru ,2852
ADAM Ioan,2840
ADANIA Alf Alfons ,979
ADERCA F. Felix ,13128
ADERCA Marcel,1410
CANTEMIR Antioh,5015
CANTEMIR Dimitrie,21937
CESEREANU Domiţian,2949
CEUCA Justin,2806
CHEIANU Constantin,1691
CHENDI Ilarie,17297
CHESARIE DE Râmnic,3281
CHIHAIA Pavel,6381
CHIOARU Dumitru,3380
ALDULESCU Radu,14184
ALECSANDRI Vasile,22409
ALEXANDRU Oltea,2917
CÂNTEC c .,6211
CÂRLOVA Vasile,5656
CERNAT Paul,7237
CERNEŢ Laurenţiu,1935
ALEXI Theochar,2146
ALEXIU Ştefan,1178
AL-GEORGE Ion,3412
AL-GEORGE Sergiu,4665
ALIMĂNEŞTIANU Pia,3252
ALMANAH a .,705
DIMA Ştefan,2155
DIMACHI Neculai,1503
DIMISIANU Gabriel,7450
DIMITRIADE Constantin,1443
DIMITRIU Nicolae,2714
DIMITRIU Toma,2722
DIACONESCU Mihail,4766
DIACONU Marin,3049
DIAMANDI Sterie,2569
DELEANU Andrei Ion,2482
DELEANU Marcu Mihail,1565
DEMETRESCU Romulus,1810
DEMETRIADE Mircea C .,4511
CHIORALIA Constantin,1664
BARZIN Vlada,1151
CIUREZU D. Dumitru ,4318
CIZEK Alexandru Nicolae,4485
CLARNET Adolphe,3538
CLAYMOOR C .,1441
COCORA Ion,3961
CODRESCU Andrei,8056
COJA Ion,3486
COJOCARU Mircea,2078
COLAC Tudor,1214
COLORIAN Alexandru,2854
COLOŞENCO Mircea,2658
COMĂNESCU Denisa,2646
COMOROŞAN Sorin,3070
DOBOŞ Andrei,4020
DOBRE Aneta,1591
DOBRIDOR Ilariu,1814
DOCLIN Octavian,3379
DOHOTARU Adrian,2861
ANTONESEI Liviu,6318
ANTONIU Ion,2150
ANUŢA Cătălin,1928
DINUTZ Mircea,2887
DOINă d .,774
DOLËNGA Lotis,1146
DOMOKOS János,1162
DOMŞA Aurel C .,1843
BĂNULESCU-BODONI Gavriil,917
BĂNUŢĂ Ion,3430
BĂRBULESCU Corneliu,1695
BĂRBULESCU Emil,1113
BĂRBULESCU Simion,1558
CONDEESCU N.N . Nicolae N . ,7814
CONSTANTIN Theodor,2973
DONOS Arcadie,1729
DORCESCU Eugen,3806
BECESCU Florian I .,1999
CRIGAN Grigore,2229
CRISTEA Valeriu,16793
CRISTEA-ENACHE Daniel,4169
CRISTIAN Vasile,1754
CRISTOFOR Ion,3059
BITTEL Adriana,3903
BÎLBÎIE Radu Marian,1956
BÎRSAN Liviu,1910
BLAGA Iosif,1688
CREŢAN Gabriela,3092
CREŢEANU George,2179
CREŢU Ion,1568
CRUCEANU Ada D .,1468
CRUDU Dumitru,5513
CRUDU Tiberiu,2590
CUCEU Ion,3429
CUCIURAN Mihail,1695
COŞERIU Eugeniu,8418
COTORCEA Livia,4670
CRĂCIUNESCU Ioana,3585
CRĂCIUNESCU Pompiliu,2645
BIEŃKOWSKA Danuta,2483
BILCIURESCU Alexandru,2842
DUMITRAŞCU Aurel,8161
DUMITRIU Dana,8886
DUNĂ Teodor,5072
DUŢU Alexandru,4864
DVOICENCO-MARKOVA Eufrosina ( Efrosinia ),1845
CORNEA George,2804
COTRUŞ Ovidiu,366
BUDESCU Ion,3091
BUESCU Victor,2066
BUFNILĂ Ovidiu,2476
BUGARIU Voicu,5059
BUGNARIU Iuliu,1063
BUICIUC Mircea Aurel,1607
BULAT Mariana,1218
BUMBAC Ion ( Ioniţă ) I .,1576
BUNARU Eugen,3588
BUNĂ VESTIRE,448
BURLACU Doru George,2297
BUSUIOCEANU Alexandru,8871
BUŞNEAG Elis Elisabeta ,892
BUTNARIU Gheorghe V .,1404
BUZDUGAN C. Z . Constantin Z . ,5702
BUZDUGAN-HAŞEGANU Cornelia,2037
BUZEA Constanţa,10743
BUZINSCHI Anta Raluca,2089
BUZURA Augustin,14498
BACIU Ștefan,5906
BADIU Vasile,759
BAGDAT Toma Alexandru,102
BAIDAN Boris,801
BALACI Alexandru,5786
BALACI Anca,4341
BALAMACI Elena,1395
DAFIN Ioan,1611
DAIAN Paul,3436
CANTACUZINO Constantin stolnicul,14532
CANTACUZINO Ioan,2115
BABEŢI Adriana,5319
BACALBAȘA Anton,3158
BACALBAȘA Constantin C .,4987
DAMASCHIN Dan,2327
DAMIAN Liviu,3521
DAMIAN Ştefan,2792
DAN Mariana,2097
DAN Mihail,1862
DAVIDOGLU Mihail,3159
DĂRMĂNESCU Iordache Darie,152
DECUBLE Gabriel H. Horațiu ,5793
DEL CONTE,6775
CĂLINESCU Al . Alexandru ,4832
CĂLINESCU Alexandru,852
BALOȘ Olimpiu,2492
BALOTĂ Bianca,4089
BANTAȘ Andrei,3148
CARTIANU Ana,2183
CAUREA Daniela,2419
CAVARNALI Vladimir,1323
CAZIMIR Ştefan,7442
ADAM Sergiu,4347
ADAMESCU Gh . Gheorghe ,1932
ADAMS-MUREŞANU Eugenia,1133
CANTILLI Aristide,831
CANTONIERU Niculae,1570
CALOVIA Ion,785
CAMARIANO-CIORAN Ariadna,3440
CANDREA I.-A Ion-Aureliu ,4587
BANU Constantin,2392
BARBĂ Gheorghe,4252
DASCĂLUL PETREA,1680
DÁVID Gyula,2490
DAN Vasile,4216
ACHIŢEI Gheorghe,1320
ACOSMEI Constantin,1833
CIOCLEA Eugen,5022
CIOCULESCU Şerban,27580
CIOFLEC Dimitrie,1219
CIOMAC Emanoil,2645
BĂLĂNESCU Ioan P .,4133
BĂLĂȘEL Teodor,1711
BĂLCEȘTI Ștefan,2058
AMARU Bogdan,2234
AMFILOHIE HOTINIUL,6222
ANCA George,2764
CIOPRAGA Constantin,5501
CIREŞ Lucia,2008
CIREŞ Vasile,1004
BĂCILĂ Iosif,951
BĂDESCU Horia,5632
BĂDESCU Irina,955
BĂDESCU Lucian,1293
ANDERCO Ioan Artemie,2606
ANDRONACHE Vasile,928
ANESTIN Ion,3083
ANGHEL Petre D .,1612
ANGHEL Petru,3391
BĂLAN George,3734
BĂLAN-OSIAC Elena,991
BĂLĂCEANU Ion,1647
CHIVU Aurelian,2336
CIBOTARU Arhip,1823
CIBOTARU Simion,1361
CINCA Silvia,2171
CIOCANU Aurel,843
CIOCÂLTEU Alexandru,1033
CHIRA Minerva,2348
CHIRESCU Aurel,2914
ANTON Costache,3228
